epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.746014,1.1658,3.9952,0.84268,0.00429,0.78261,0.00532,0.00261,0.64967,3.89175,0.78237,6e-05,6e-05,6e-05
2,1.36644,0.75038,3.99037,0.82785,0.00429,0.78261,0.00611,0.0032,0.89226,3.89223,0.78753,0.000138614,0.000138614,0.000138614
3,1.98959,0.92976,3.31725,0.82497,0.00524,0.95652,0.01304,0.0075,0.7525,3.85418,0.77351,0.000215644,0.000215644,0.000215644
4,2.60077,0.96892,2.25117,0.83161,0.00524,0.95652,0.01439,0.00731,1.00799,3.84433,0.8004,0.00029109,0.00029109,0.00029109
5,3.18067,1.10834,1.66541,0.85706,0.00548,1,0.01462,0.00753,1.05106,3.81592,0.81496,0.000364952,0.000364952,0.000364952
6,3.76576,0.90764,1.57144,0.82905,0.00548,1,0.01414,0.0084,0.8238,3.70472,0.79227,0.00043723,0.00043723,0.00043723
7,4.35187,0.81536,1.56502,0.79239,0.00476,0.86957,0.01032,0.00615,0.67747,3.75997,0.78112,0.000507924,0.000507924,0.000507924
8,4.91999,0.74025,1.6521,0.83652,0.005,0.91304,0.01121,0.00536,0.71608,3.7759,0.78708,0.000577034,0.000577034,0.000577034
9,5.48697,0.87097,1.78587,0.83161,0.00524,0.95652,0.01296,0.00689,0.69765,3.67852,0.77762,0.00064456,0.00064456,0.00064456
10,6.05847,0.82207,1.42668,0.83161,0.00476,0.86957,0.01112,0.00399,0.65889,3.715,0.78413,0.000710502,0.000710502,0.000710502
11,6.62912,0.65667,1.39908,0.84043,0.00405,0.73913,0.00795,0.00252,0.64875,3.69682,0.78182,0.00077486,0.00077486,0.00077486
12,7.19306,0.6647,1.28766,0.77706,0.005,0.91304,0.01251,0.00469,0.64302,3.52722,0.78743,0.000837634,0.000837634,0.000837634
13,7.75855,0.63099,1.11684,0.79975,0.00476,0.86957,0.01019,0.00456,0.62759,3.51248,0.78978,0.000898824,0.000898824,0.000898824
14,8.31774,0.70519,1.10323,0.8067,0.00452,0.82609,0.00885,0.00423,0.6725,3.51511,0.78999,0.00095843,0.00095843,0.00095843
15,8.88506,0.67217,1.23306,0.77014,0.00524,0.95652,0.0114,0.0074,0.65128,3.47842,0.79148,0.00101645,0.00101645,0.00101645
16,9.44367,0.64109,1.14286,0.81318,0.00524,0.95652,0.01181,0.00862,0.72454,3.37889,0.80247,0.00107289,0.00107289,0.00107289
17,10.0034,0.69317,1.12769,0.8104,0.00524,0.95652,0.01214,0.00975,0.67308,3.29348,0.79027,0.00112774,0.00112774,0.00112774
